#  H2 - NNLOopt data
#    H2R  Nmax      hw   UVeff    Leff
#=====================================
  1.9680    60   9.247 1050.00  23.863
  1.9682    70   7.989 1050.00  27.622
  1.9682    80   7.032 1050.00  31.382
  1.9682    90   6.280 1050.00  35.141
  1.9682   100   5.673 1050.00  38.899
  1.9682   110   5.173 1050.00  42.658
  1.9682   120   4.754 1050.00  46.417
  1.9682   130   4.398 1050.00  50.176
  1.9682   140   4.092 1050.00  53.935
  1.9682   150   3.825 1050.00  57.694
  1.9682   160   3.591 1050.00  61.452
  1.9682   170   3.384 1050.00  65.211
  1.9682   180   3.200 1050.00  68.970
  1.9682   190   3.034 1050.00  72.728
  1.9682   200   2.885 1050.00  76.487
  1.9682   210   2.750 1050.00  80.246
  1.9682   220   2.627 1050.00  84.005
  1.9682   230   2.514 1050.00  87.763
  1.9682   240   2.411 1050.00  91.522
  1.9682   250   2.316 1050.00  95.281
#
  1.3319    10  47.914 1100.00   4.825
  1.7454    20  27.454 1100.00   8.421
  1.9093    30  19.247 1100.00  12.012
  1.9558    40  14.818 1100.00  15.601
  1.9660    50  12.047 1100.00  19.190
  1.9678    60  10.149 1100.00  22.779
  1.9681    70   8.768 1100.00  26.367
  1.9682    80   7.718 1100.00  29.955
  1.9682    90   6.892 1100.00  33.543
  1.9682   100   6.226 1100.00  37.131
  1.9682   110   5.677 1100.00  40.719
  1.9682   120   5.218 1100.00  44.307
  1.9682   130   4.827 1100.00  47.895
  1.9682   140   4.490 1100.00  51.483
  1.9682   150   4.198 1100.00  55.071
  1.9682   160   3.941 1100.00  58.659
  1.9682   170   3.714 1100.00  62.247
  1.9682   180   3.512 1100.00  65.835
  1.9682   190   3.330 1100.00  69.423
  1.9682   200   3.166 1100.00  73.011
  1.9682   210   3.018 1100.00  76.598
  1.9682   220   2.883 1100.00  80.186
  1.9682   230   2.760 1100.00  83.774
  1.9682   240   2.646 1100.00  87.362
  1.9682   250   2.542 1100.00  90.950
#
  1.2982    10  52.369 1150.00   4.615
  1.7171    20  30.007 1150.00   8.055
  1.8955    30  21.036 1150.00  11.489
  1.9513    40  16.196 1150.00  14.923
  1.9648    50  13.167 1150.00  18.356
  1.9676    60  11.093 1150.00  21.788
  1.9681    70   9.583 1150.00  25.221
  1.9682    80   8.435 1150.00  28.653
  1.9682    90   7.533 1150.00  32.085
  1.9682   100   6.805 1150.00  35.517
  1.9682   110   6.205 1150.00  38.949
  1.9682   120   5.703 1150.00  42.381
  1.9682   130   5.276 1150.00  45.813
  1.9682   140   4.908 1150.00  49.245
  1.9682   150   4.588 1150.00  52.677
  1.9682   160   4.308 1150.00  56.109
  1.9682   170   4.059 1150.00  59.541
  1.9682   180   3.838 1150.00  62.972
  1.9682   190   3.640 1150.00  66.404
  1.9682   200   3.461 1150.00  69.836
  1.9682   210   3.299 1150.00  73.268
  1.9682   220   3.151 1150.00  76.700
  1.9682   230   3.016 1150.00  80.132
  1.9682   240   2.892 1150.00  83.564
  1.9682   250   2.778 1150.00  86.995
#
  1.2659    10  57.022 1200.00   4.423
  1.6887    20  32.673 1200.00   7.719
  1.8806    30  22.905 1200.00  11.011
  1.9459    40  17.635 1200.00  14.301
  1.9633    50  14.337 1200.00  17.591
  1.9672    60  12.078 1200.00  20.880
  1.9680    70  10.435 1200.00  24.170
  1.9682    80   9.185 1200.00  27.459
  1.9682    90   8.202 1200.00  30.748
  1.9682   100   7.410 1200.00  34.037
  1.9682   110   6.757 1200.00  37.326
  1.9682   120   6.210 1200.00  40.615
  1.9682   130   5.744 1200.00  43.904
  1.9682   140   5.344 1200.00  47.193
  1.9682   150   4.996 1200.00  50.482
  1.9682   160   4.690 1200.00  53.771
  1.9682   170   4.420 1200.00  57.060
  1.9682   180   4.179 1200.00  60.349
  1.9682   190   3.963 1200.00  63.637
  1.9682   200   3.768 1200.00  66.926
  1.9682   210   3.592 1200.00  70.215
  1.9682   220   3.431 1200.00  73.504
  1.9682   230   3.284 1200.00  76.793
  1.9682   240   3.149 1200.00  80.082
  1.9682   250   3.025 1200.00  83.371
#
  1.2347    10  61.873 1250.00   4.246
  1.6604    20  35.452 1250.00   7.410
  1.8645    30  24.853 1250.00  10.570
  1.9395    40  19.135 1250.00  13.729
  1.9614    50  15.557 1250.00  16.887
  1.9667    60  13.106 1250.00  20.045
  1.9679    70  11.322 1250.00  23.203
  1.9681    80   9.966 1250.00  26.361
  1.9682    90   8.900 1250.00  29.518
  1.9682   100   8.040 1250.00  32.676
  1.9682   110   7.331 1250.00  35.833
  1.9682   120   6.738 1250.00  38.990
  1.9682   130   6.233 1250.00  42.148
  1.9682   140   5.799 1250.00  45.305
  1.9682   150   5.421 1250.00  48.463
  1.9682   160   5.089 1250.00  51.620
  1.9682   170   4.796 1250.00  54.777
  1.9682   180   4.535 1250.00  57.935
  1.9682   190   4.300 1250.00  61.092
  1.9682   200   4.089 1250.00  64.249
  1.9682   210   3.897 1250.00  67.407
  1.9682   220   3.723 1250.00  70.564
  1.9682   230   3.564 1250.00  73.721
  1.9682   240   3.417 1250.00  76.878
  1.9682   250   3.282 1250.00  80.036
#
  1.2049    10  66.921 1300.00   4.083
  1.6322    20  38.345 1300.00   7.125
  1.8475    30  26.881 1300.00  10.164
  1.9322    40  20.697 1300.00  13.201
  1.9589    50  16.826 1300.00  16.238
  1.9661    60  14.175 1300.00  19.274
  1.9677    70  12.246 1300.00  22.310
  1.9681    80  10.779 1300.00  25.347
  1.9682    90   9.626 1300.00  28.383
  1.9682   100   8.696 1300.00  31.419
  1.9682   110   7.930 1300.00  34.455
  1.9682   120   7.288 1300.00  37.491
  1.9682   130   6.742 1300.00  40.527
  1.9682   140   6.272 1300.00  43.563
  1.9682   150   5.863 1300.00  46.599
  1.9682   160   5.505 1300.00  49.635
  1.9682   170   5.187 1300.00  52.670
  1.9682   180   4.905 1300.00  55.706
  1.9682   190   4.651 1300.00  58.742
  1.9682   200   4.423 1300.00  61.778
  1.9682   210   4.215 1300.00  64.814
  1.9682   220   4.027 1300.00  67.850
  1.9682   230   3.854 1300.00  70.886
  1.9682   240   3.696 1300.00  73.922
  1.9682   250   3.550 1300.00  76.957
#
  1.1765    10  72.168 1350.00   3.931
  1.6045    20  41.351 1350.00   6.861
  1.8297    30  28.989 1350.00   9.787
  1.9240    40  22.319 1350.00  12.712
  1.9560    50  18.145 1350.00  15.636
  1.9652    60  15.287 1350.00  18.560
  1.9675    70  13.206 1350.00  21.484
  1.9680    80  11.624 1350.00  24.408
  1.9682    90  10.381 1350.00  27.332
  1.9682   100   9.378 1350.00  30.255
  1.9682   110   8.551 1350.00  33.179
  1.9682   120   7.859 1350.00  36.102
  1.9682   130   7.270 1350.00  39.026
  1.9682   140   6.764 1350.00  41.949
  1.9682   150   6.323 1350.00  44.873
  1.9682   160   5.936 1350.00  47.796
  1.9682   170   5.594 1350.00  50.720
  1.9682   180   5.289 1350.00  53.643
  1.9682   190   5.016 1350.00  56.567
  1.9682   200   4.769 1350.00  59.490
  1.9682   210   4.546 1350.00  62.413
  1.9682   220   4.342 1350.00  65.337
  1.9682   230   4.156 1350.00  68.260
  1.9682   240   3.986 1350.00  71.184
  1.9682   250   3.829 1350.00  74.107
#
  1.1495    10  77.613 1400.00   3.791
  1.5773    20  44.471 1400.00   6.616
  1.8112    30  31.176 1400.00   9.438
  1.9149    40  24.003 1400.00  12.258
  1.9524    50  19.514 1400.00  15.078
  1.9640    60  16.440 1400.00  17.897
  1.9672    70  14.203 1400.00  20.717
  1.9680    80  12.501 1400.00  23.536
  1.9681    90  11.164 1400.00  26.355
  1.9682   100  10.085 1400.00  29.175
  1.9682   110   9.197 1400.00  31.994
  1.9682   120   8.452 1400.00  34.813
  1.9682   130   7.819 1400.00  37.632
  1.9682   140   7.274 1400.00  40.451
  1.9682   150   6.800 1400.00  43.270
  1.9682   160   6.384 1400.00  46.089
  1.9682   170   6.016 1400.00  48.908
  1.9682   180   5.688 1400.00  51.727
  1.9682   190   5.394 1400.00  54.546
  1.9682   200   5.129 1400.00  57.365
  1.9682   210   4.889 1400.00  60.184
  1.9682   220   4.670 1400.00  63.003
  1.9682   230   4.470 1400.00  65.822
  1.9682   240   4.287 1400.00  68.641
  1.9682   250   4.117 1400.00  71.461
#
  1.1240    10  83.256 1450.00   3.660
  1.5508    20  47.704 1450.00   6.388
  1.7922    30  33.443 1450.00   9.112
  1.9049    40  25.748 1450.00  11.835
  1.9483    50  20.933 1450.00  14.558
  1.9625    60  17.635 1450.00  17.280
  1.9667    70  15.235 1450.00  20.002
  1.9678    80  13.410 1450.00  22.725
  1.9681    90  11.976 1450.00  25.447
  1.9682   100  10.818 1450.00  28.169
  1.9682   110   9.865 1450.00  30.891
  1.9682   120   9.066 1450.00  33.612
  1.9682   130   8.387 1450.00  36.334
  1.9682   140   7.803 1450.00  39.056
  1.9682   150   7.294 1450.00  41.778
  1.9682   160   6.848 1450.00  44.500
  1.9682   170   6.453 1450.00  47.222
  1.9682   180   6.102 1450.00  49.944
  1.9682   190   5.786 1450.00  52.665
  1.9682   200   5.502 1450.00  55.387
  1.9682   210   5.244 1450.00  58.109
  1.9682   220   5.010 1450.00  60.831
  1.9682   230   4.795 1450.00  63.553
  1.9682   240   4.598 1450.00  66.275
  1.9682   250   4.417 1450.00  68.996
#
  1.1000    10  89.097 1500.00   3.538
  1.5249    20  51.051 1500.00   6.175
  1.7728    30  35.789 1500.00   8.809
  1.8941    40  27.555 1500.00  11.441
  1.9435    50  22.401 1500.00  14.073
  1.9608    60  18.872 1500.00  16.704
  1.9661    70  16.304 1500.00  19.336
  1.9677    80  14.351 1500.00  21.967
  1.9681    90  12.816 1500.00  24.598
  1.9682   100  11.577 1500.00  27.230
  1.9682   110  10.557 1500.00  29.861
  1.9682   120   9.702 1500.00  32.492
  1.9682   130   8.976 1500.00  35.123
  1.9682   140   8.350 1500.00  37.754
  1.9682   150   7.806 1500.00  40.385
  1.9682   160   7.329 1500.00  43.017
  1.9682   170   6.906 1500.00  45.648
  1.9682   180   6.530 1500.00  48.279
  1.9682   190   6.192 1500.00  50.910
  1.9682   200   5.888 1500.00  53.541
  1.9682   210   5.612 1500.00  56.172
  1.9682   220   5.361 1500.00  58.803
  1.9682   230   5.131 1500.00  61.434
  1.9682   240   4.921 1500.00  64.065
  1.9682   250   4.727 1500.00  66.696
#
