#6Li - NNLOopt data
#Energy   Nmax   HW     UVeff    Leff
#====================================
  21.583   6   70.38  1449.96    4.330 
  -3.977   8   61.87  1450.06    4.926 
 -16.247  10   55.30  1449.96    5.511 
 -22.536  12   50.07  1450.06    6.087 
# -25.916  14   45.77  1449.94    6.658  # this is missing in radius
 -27.801  16   42.18  1449.92    7.22
 -28.890  18   39.13  1449.92    7.79 
 -29.538  20   36.51  1450.08    8.35
 -29.936  22   34.22  1450.06    8.906 
#
  96.162   4   87.79  1500.03    3.591 
  30.918   6   75.32  1499.98    4.185 
   1.081   8   66.21  1500.05    4.762 
 -13.377  10   59.18  1499.96    5.327 
 -20.844  12   53.58  1500.03    5.884 
# -24.890  14   48.99  1500.07    6.435  # this is missing in radius
 -27.167  16   45.14  1499.93    6.98
 -28.488  18   41.88  1500.01    7.53
 -29.278  20   39.07  1500.05    8.07
 -29.764  22   36.62  1500.05    8.609 
#
# 115.242   4   93.74  1550.03    3.475 
#  41.389   6   80.43  1550.03    4.050 
#   6.838   8   70.69  1549.97    4.608 
# -10.082  10   63.19  1549.95    5.155 
# -18.882  12   57.21  1550.01    5.694 
# -23.692  14   52.31  1550.07    6.228
#
#-29.65311  22   38.00  1528.06    8.451 
#-30.49975  22   18.36  1062.14   12.158 
#-30.43664  22   15.00   960.05   13.451 
#-30.50022  22   18.00  1051.68   12.279 
#-30.49705  22   19.00  1080.50   11.952 
#-30.17740  22   30.00  1357.71    9.511 
#-30.49918  22   17.60  1039.93   12.418 

 
