#  H3 - NNLOopt data
#    H3R  Nmax      hw   UVeff    Leff
#=====================================
  1.3075     4  34.467  750.00   4.573
  1.4363     6  27.866  750.00   5.657
  1.5089     8  23.421  750.00   6.730
  1.5616    10  20.215  750.00   7.797
  1.5808    12  17.788  750.00   8.861
  1.5992    14  15.885  750.00   9.923
  1.6028    16  14.352  750.00  10.982
  1.6090    18  13.091  750.00  12.041
  1.6096    20  12.034  750.00  13.098
  1.6122    22  11.136  750.00  14.155
  1.6124    24  10.363  750.00  15.211
  1.6138    26   9.690  750.00  16.267
  1.6142    28   9.100  750.00  17.322
  1.6151    30   8.577  750.00  18.377
  1.6155    32   8.112  750.00  19.431
  1.6162    34   7.694  750.00  20.486
  1.6167    36   7.318  750.00  21.540
  1.6173    38   6.976  750.00  22.594
  1.6179    40   6.665  750.00  23.648
#
  1.2619     4  39.216  800.00   4.287
  1.3956     6  31.705  800.00   5.303
  1.4780     8  26.648  800.00   6.309
  1.5377    10  23.000  800.00   7.310
  1.5641    12  20.239  800.00   8.308
  1.5863    14  18.074  800.00   9.303
  1.5924    16  16.330  800.00  10.296
  1.5997    18  14.894  800.00  11.288
  1.6005    20  13.692  800.00  12.280
  1.6032    22  12.670  800.00  13.270
  1.6032    24  11.790  800.00  14.260
  1.6043    26  11.025  800.00  15.250
  1.6043    28  10.353  800.00  16.239
  1.6048    30   9.759  800.00  17.228
  1.6049    32   9.229  800.00  18.217
  1.6052    34   8.754  800.00  19.205
  1.6053    36   8.326  800.00  20.194
  1.6055    38   7.938  800.00  21.182
  1.6057    40   7.584  800.00  22.170
#
  1.2209     4  44.271  850.00   4.035
  1.3573     6  35.792  850.00   4.991
  1.4498     8  30.083  850.00   5.938
  1.5150    10  25.965  850.00   6.880
  1.5505    12  22.847  850.00   7.819
  1.5758    14  20.404  850.00   8.755
  1.5864    16  18.435  850.00   9.690
  1.5946    18  16.814  850.00  10.624
  1.5970    20  15.457  850.00  11.557
  1.5998    22  14.303  850.00  12.490
  1.6001    24  13.310  850.00  13.421
  1.6011    26  12.446  850.00  14.353
  1.6011    28  11.688  850.00  15.284
  1.6015    30  11.017  850.00  16.215
  1.6014    32  10.419  850.00  17.145
  1.6016    34   9.883  850.00  18.076
  1.6016    36   9.399  850.00  19.006
  1.6017    38   8.961  850.00  19.936
  1.6017    40   8.561  850.00  20.866
#
  1.1829     4  49.633  900.00   3.811
  1.3209     6  40.126  900.00   4.714
  1.4220     8  33.727  900.00   5.608
  1.4920    10  29.109  900.00   6.498
  1.5364    12  25.614  900.00   7.384
  1.5652    14  22.875  900.00   8.269
  1.5810    16  20.667  900.00   9.152
  1.5905    18  18.851  900.00  10.034
  1.5951    20  17.329  900.00  10.915
  1.5980    22  16.035  900.00  11.796
  1.5991    24  14.922  900.00  12.676
  1.6000    26  13.954  900.00  13.556
  1.6003    28  13.104  900.00  14.435
  1.6006    30  12.351  900.00  15.314
  1.6006    32  11.681  900.00  16.193
  1.6007    34  11.080  900.00  17.071
