#  H3 - NNLOopt data
#    H3R  Nmax      hw   UVeff    Leff
#=====================================
  1.6007    36  10.538  900.00  17.950
  1.6008    38  10.046  900.00  18.828
  1.6008    40   9.598  900.00  19.707
#
  1.1469     4  55.300  950.00   3.610
  1.2862     6  44.709  950.00   4.466
  1.3934     8  37.578  950.00   5.313
  1.4683    10  32.433  950.00   6.156
  1.5204    12  28.540  950.00   6.996
  1.5533    14  25.487  950.00   7.834
  1.5741    16  23.028  950.00   8.670
  1.5858    18  21.003  950.00   9.506
  1.5927    20  19.308  950.00  10.341
  1.5964    22  17.867  950.00  11.175
  1.5984    24  16.626  950.00  12.009
  1.5994    26  15.547  950.00  12.842
  1.6000    28  14.600  950.00  13.675
  1.6003    30  13.762  950.00  14.508
  1.6004    32  13.015  950.00  15.341
  1.6005    34  12.345  950.00  16.173
  1.6005    36  11.741  950.00  17.005
  1.6006    38  11.193  950.00  17.837
  1.6006    40  10.694  950.00  18.669
#
  1.1121     4  61.275 1000.00   3.430
  1.2531     6  49.539 1000.00   4.242
  1.3642     8  41.638 1000.00   5.047
  1.4440    10  35.937 1000.00   5.848
  1.5021    12  31.623 1000.00   6.646
  1.5401    14  28.240 1000.00   7.442
  1.5654    16  25.515 1000.00   8.237
  1.5802    18  23.273 1000.00   9.031
  1.5894    20  21.394 1000.00   9.824
  1.5944    22  19.797 1000.00  10.616
  1.5973    24  18.422 1000.00  11.408
  1.5988    26  17.227 1000.00  12.200
  1.5996    28  16.177 1000.00  12.991
  1.6000    30  15.249 1000.00  13.783
  1.6003    32  14.421 1000.00  14.574
  1.6004    34  13.679 1000.00  15.364
  1.6005    36  13.009 1000.00  16.155
  1.6005    38  12.402 1000.00  16.946
  1.6005    40  11.850 1000.00  17.736
#
  1.0783     4  67.555 1050.00   3.267
  1.2214     6  54.617 1050.00   4.040
  1.3346     8  45.906 1050.00   4.807
  1.4193    10  39.621 1050.00   5.570
  1.4821    12  34.864 1050.00   6.330
  1.5254    14  31.135 1050.00   7.088
  1.5548    16  28.131 1050.00   7.845
  1.5733    18  25.658 1050.00   8.601
  1.5849    20  23.587 1050.00   9.356
  1.5917    22  21.826 1050.00  10.111
  1.5957    24  20.311 1050.00  10.865
  1.5978    26  18.993 1050.00  11.619
  1.5991    28  17.836 1050.00  12.373
  1.5997    30  16.812 1050.00  13.126
  1.6001    32  15.899 1050.00  13.880
  1.6003    34  15.081 1050.00  14.633
  1.6004    36  14.343 1050.00  15.386
  1.6005    38  13.674 1050.00  16.139
  1.6005    40  13.064 1050.00  16.891
#
  1.0454     4  74.142 1100.00   3.118
  1.1910     6  59.942 1100.00   3.857
  1.3052     8  50.382 1100.00   4.589
  1.3943    10  43.484 1100.00   5.316
  1.4610    12  38.264 1100.00   6.042
  1.5093    14  34.171 1100.00   6.766
  1.5428    16  30.874 1100.00   7.488
  1.5651    18  28.160 1100.00   8.210
  1.5793    20  25.886 1100.00   8.931
  1.5882    22  23.954 1100.00   9.651
  1.5935    24  22.291 1100.00  10.371
  1.5965    26  20.844 1100.00  11.091
  1.5983    28  19.575 1100.00  11.810
  1.5993    30  18.451 1100.00  12.530
  1.5999    32  17.450 1100.00  13.249
  1.6002    34  16.551 1100.00  13.968
  1.6003    36  15.741 1100.00  14.686
  1.6004    38  15.007 1100.00  15.405
  1.6005    40  14.338 1100.00  16.124
#
  1.0135     4  81.036 1150.00   2.983
  1.1617     6  65.515 1150.00   3.689
  1.2765     8  55.066 1150.00   4.389
  1.3690    10  47.527 1150.00   5.085
  1.4392    12  41.821 1150.00   5.779
  1.4920    14  37.348 1150.00   6.471
  1.5294    16  33.744 1150.00   7.162
  1.5555    18  30.778 1150.00   7.853
  1.5726    20  28.293 1150.00   8.542
  1.5837    22  26.181 1150.00   9.231
  1.5906    24  24.363 1150.00   9.920
  1.5947    26  22.782 1150.00  10.609
  1.5972    28  21.395 1150.00  11.297
  1.5987    30  20.166 1150.00  11.985
  1.5995    32  19.072 1150.00  12.673
  1.5999    34  18.090 1150.00  13.360
  1.6002    36  17.205 1150.00  14.048
  1.6003    38  16.402 1150.00  14.735
  1.6004    40  15.671 1150.00  15.423
#
  0.9825     4  88.236 1200.00   2.858
  1.1334     6  71.336 1200.00   3.535
  1.2487     8  59.959 1200.00   4.206
  1.3436    10  51.750 1200.00   4.873
  1.4170    12  45.537 1200.00   5.538
  1.4736    14  40.666 1200.00   6.202
  1.5150    16  36.742 1200.00   6.864
  1.5446    18  33.512 1200.00   7.526
  1.5649    20  30.807 1200.00   8.186
  1.5783    22  28.507 1200.00   8.847
  1.5870    24  26.528 1200.00   9.507
  1.5924    26  24.807 1200.00  10.167
  1.5957    28  23.295 1200.00  10.826
  1.5977    30  21.958 1200.00  11.485
  1.5989    32  20.766 1200.00  12.145
  1.5996    34  19.698 1200.00  12.804
  1.6000    36  18.733 1200.00  13.462
  1.6002    38  17.860 1200.00  14.121
  1.6004    40  17.064 1200.00  14.780
#
  0.9526     4  95.742 1250.00   2.744
  1.1059     6  77.404 1250.00   3.394
  1.2219     8  65.059 1250.00   4.038
  1.3183    10  56.152 1250.00   4.678
  1.3947    12  49.411 1250.00   5.317
  1.4544    14  44.125 1250.00   5.954
  1.4996    16  39.868 1250.00   6.589
  1.5325    18  36.363 1250.00   7.225
  1.5559    20  33.428 1250.00   7.859
  1.5719    22  30.932 1250.00   8.493
  1.5825    24  28.785 1250.00   9.127
  1.5894    26  26.917 1250.00   9.760
  1.5938    28  25.277 1250.00  10.393
  1.5965    30  23.826 1250.00  11.026
  1.5981    32  22.533 1250.00  11.659
  1.5991    34  21.373 1250.00  12.291
  1.5997    36  20.327 1250.00  12.924
  1.6001    38  19.379 1250.00  13.556
  1.6003    40  18.515 1250.00  14.189
#
  0.9238     4 103.554 1300.00   2.638
  1.0792     6  83.721 1300.00   3.263
  1.1961     8  70.368 1300.00   3.883
  1.2933    10  60.734 1300.00   4.499
  1.3724    12  53.443 1300.00   5.112
  1.4348    14  47.726 1300.00   5.725
  1.4833    16  43.121 1300.00   6.336
  1.5195    18  39.331 1300.00   6.947
  1.5460    20  36.155 1300.00   7.557
  1.5645    22  33.456 1300.00   8.166
  1.5773    24  31.134 1300.00   8.776
  1.5858    26  29.113 1300.00   9.385
  1.5913    28  27.340 1300.00   9.993
  1.5949    30  25.770 1300.00  10.602
  1.5971    32  24.372 1300.00  11.210
  1.5985    34  23.117 1300.00  11.819
  1.5993    36  21.986 1300.00  12.427
  1.5998    38  20.960 1300.00  13.035
  1.6001    40  20.026 1300.00  13.643
#
  0.8961     4 111.673 1350.00   2.541
  1.0531     6  90.285 1350.00   3.143
  1.1712     8  75.885 1350.00   3.739
  1.2688    10  65.496 1350.00   4.332
  1.3500    12  57.633 1350.00   4.923
  1.4149    14  51.468 1350.00   5.513
  1.4664    16  46.502 1350.00   6.101
  1.5057    18  42.414 1350.00   6.689
  1.5350    20  38.990 1350.00   7.277
  1.5562    22  36.080 1350.00   7.864
  1.5712    24  33.575 1350.00   8.451
  1.5814    26  31.396 1350.00   9.037
  1.5883    28  29.483 1350.00   9.623
  1.5928    30  27.791 1350.00  10.209
  1.5957    32  26.282 1350.00  10.795
  1.5976    34  24.930 1350.00  11.381
  1.5987    36  23.710 1350.00  11.967
  1.5994    38  22.603 1350.00  12.552
  1.5999    40  21.596 1350.00  13.138
#
  0.8696     4 120.099 1400.00   2.450
  1.0277     6  97.096 1400.00   3.030
  1.1471     8  81.610 1400.00   3.605
  1.2449    10  70.437 1400.00   4.177
  1.3277    12  61.981 1400.00   4.747
  1.3949    14  55.351 1400.00   5.316
  1.4489    16  50.010 1400.00   5.883
  1.4911    18  45.614 1400.00   6.450
  1.5232    20  41.932 1400.00   7.017
  1.5470    22  38.802 1400.00   7.583
  1.5642    24  36.108 1400.00   8.149
  1.5763    26  33.764 1400.00   8.714
  1.5846    28  31.708 1400.00   9.280
  1.5903    30  29.887 1400.00   9.845
  1.5940    32  28.265 1400.00  10.410
  1.5964    34  26.811 1400.00  10.975
  1.5979    36  25.498 1400.00  11.539
  1.5989    38  24.309 1400.00  12.104
  1.5995    40  23.225 1400.00  12.669
#
  0.8441     4 128.830 1450.00   2.365
  1.0029     6 104.155 1450.00   2.926
  1.1238     8  87.544 1450.00   3.481
  1.2218    10  75.558 1450.00   4.033
  1.3056    12  66.487 1450.00   4.583
  1.3749    14  59.375 1450.00   5.132
  1.4310    16  53.646 1450.00   5.681
  1.4759    18  48.931 1450.00   6.228
  1.5107    20  44.980 1450.00   6.775
  1.5370    22  41.623 1450.00   7.322
  1.5565    24  38.733 1450.00   7.868
  1.5705    26  36.219 1450.00   8.414
  1.5804    28  34.013 1450.00   8.960
  1.5872    30  32.060 1450.00   9.505
  1.5918    32  30.320 1450.00  10.051
  1.5949    34  28.760 1450.00  10.596
  1.5969    36  27.352 1450.00  11.141
  1.5983    38  26.076 1450.00  11.687
  1.5991    40  24.914 1450.00  12.232
#
  0.8198     4 137.868 1500.00   2.287
  0.9787     6 111.462 1500.00   2.828
  1.1010     8  93.686 1500.00   3.365
  1.1994    10  80.859 1500.00   3.899
  1.2838    12  71.151 1500.00   4.431
  1.3549    14  63.540 1500.00   4.961
  1.4130    16  57.410 1500.00   5.491
  1.4602    18  52.363 1500.00   6.020
  1.4975    20  48.136 1500.00   6.549
  1.5262    22  44.543 1500.00   7.077
  1.5479    24  41.450 1500.00   7.606
  1.5639    26  38.760 1500.00   8.133
  1.5754    28  36.399 1500.00   8.661
  1.5836    30  34.310 1500.00   9.188
  1.5892    32  32.447 1500.00   9.716
  1.5931    34  30.777 1500.00  10.243
  1.5957    36  29.271 1500.00  10.770
  1.5974    38  27.906 1500.00  11.297
  1.5985    40  26.662 1500.00  11.824
#
