# He3 - NNLOopt data
#   He3R  Nmax      hw   UVeff    Leff
# =====================================
  1.7823    28  23.295 1200.00  10.826
  1.7865    30  21.958 1200.00  11.485
  1.7892    32  20.766 1200.00  12.145
  1.7908    34  19.698 1200.00  12.804
  1.7918    36  18.733 1200.00  13.462
  1.7925    38  17.860 1200.00  14.121
  1.7928    40  17.064 1200.00  14.780
#
  1.4007    10  56.152 1250.00   4.678
  1.4955    12  49.411 1250.00   5.317
  1.5724    14  44.125 1250.00   5.954
  1.6332    16  39.868 1250.00   6.589
  1.6799    18  36.363 1250.00   7.225
  1.7148    20  33.428 1250.00   7.859
  1.7401    22  30.932 1250.00   8.493
  1.7579    24  28.785 1250.00   9.127
  1.7702    26  26.917 1250.00   9.760
  1.7784    28  25.277 1250.00  10.393
  1.7839    30  23.826 1250.00  11.026
  1.7874    32  22.533 1250.00  11.659
  1.7897    34  21.373 1250.00  12.291
  1.7911    36  20.327 1250.00  12.924
  1.7920    38  19.379 1250.00  13.556
  1.7925    40  18.515 1250.00  14.189
#
  1.3708    10  60.734 1300.00   4.499
  1.4677    12  53.443 1300.00   5.112
  1.5470    14  47.726 1300.00   5.725
  1.6111    16  43.121 1300.00   6.336
  1.6614    18  39.331 1300.00   6.947
  1.6998    20  36.155 1300.00   7.557
  1.7284    22  33.456 1300.00   8.166
  1.7490    24  31.134 1300.00   8.776
  1.7637    26  29.113 1300.00   9.385
  1.7737    28  27.340 1300.00   9.993
  1.7806    30  25.770 1300.00  10.602
  1.7851    32  24.372 1300.00  11.210
  1.7881    34  23.117 1300.00  11.819
  1.7901    36  21.986 1300.00  12.427
  1.7913    38  20.960 1300.00  13.035
  1.7921    40  20.026 1300.00  13.643
#
  1.3419    10  65.496 1350.00   4.332
  1.4401    12  57.633 1350.00   4.923
  1.5216    14  51.468 1350.00   5.513
  1.5885    16  46.502 1350.00   6.101
  1.6420    18  42.414 1350.00   6.689
  1.6838    20  38.990 1350.00   7.277
  1.7155    22  36.080 1350.00   7.864
  1.7390    24  33.575 1350.00   8.451
  1.7561    26  31.396 1350.00   9.037
  1.7682    28  29.483 1350.00   9.623
  1.7766    30  27.791 1350.00  10.209
  1.7823    32  26.282 1350.00  10.795
  1.7862    34  24.930 1350.00  11.381
  1.7887    36  23.710 1350.00  11.967
  1.7904    38  22.603 1350.00  12.552
  1.7915    40  21.596 1350.00  13.138
#
  1.3140    10  70.437 1400.00   4.177
  1.4129    12  61.981 1400.00   4.747
  1.4964    14  55.351 1400.00   5.316
  1.5656    16  50.010 1400.00   5.883
  1.6221    18  45.614 1400.00   6.450
  1.6668    20  41.932 1400.00   7.017
  1.7017    22  38.802 1400.00   7.583
  1.7280    24  36.108 1400.00   8.149
  1.7476    26  33.764 1400.00   8.714
  1.7617    28  31.708 1400.00   9.280
  1.7718    30  29.887 1400.00   9.845
  1.7789    32  28.265 1400.00  10.410
  1.7837    34  26.811 1400.00  10.975
  1.7870    36  25.498 1400.00  11.539
  1.7892    38  24.309 1400.00  12.104
  1.7907    40  23.225 1400.00  12.669
#
  1.2872    10  75.558 1450.00   4.033
  1.3863    12  66.487 1450.00   4.583
  1.4714    14  59.375 1450.00   5.132
  1.5426    16  53.646 1450.00   5.681
  1.6016    18  48.931 1450.00   6.228
  1.6492    20  44.980 1450.00   6.775
  1.6869    22  41.623 1450.00   7.322
  1.7160    24  38.733 1450.00   7.868
  1.7381    26  36.219 1450.00   8.414
  1.7544    28  34.013 1450.00   8.960
  1.7663    30  32.060 1450.00   9.505
  1.7748    32  30.320 1450.00  10.051
  1.7808    34  28.760 1450.00  10.596
  1.7849    36  27.352 1450.00  11.141
  1.7877    38  26.076 1450.00  11.687
  1.7896    40  24.914 1450.00  12.232
#
  1.2614    10  80.859 1500.00   3.899
  1.3604    12  71.151 1500.00   4.431
  1.4466    14  63.540 1500.00   4.961
  1.5196    16  57.410 1500.00   5.491
  1.5808    18  52.363 1500.00   6.020
  1.6310    20  48.136 1500.00   6.549
  1.6713    22  44.543 1500.00   7.077
  1.7031    24  41.450 1500.00   7.606
  1.7277    26  38.760 1500.00   8.133
  1.7462    28  36.399 1500.00   8.661
  1.7600    30  34.310 1500.00   9.188
  1.7700    32  32.447 1500.00   9.716
  1.7772    34  30.777 1500.00  10.243
  1.7823    36  29.271 1500.00  10.770
  1.7859    38  27.906 1500.00  11.297
  1.7883    40  26.662 1500.00  11.824
#
