# A=6, Z=2 
# NNLOopt interaction 
#  rp     Nmax   HW     UVeff    Leff
#====================================
# 
   1.607   4   22.00   750.91    7.173 
   1.699   6   18.83   749.99    8.371 
# 
   1.550   4   24.97   799.99    6.733 
   1.650   6   21.42   799.91    7.848 
   1.715   8   18.83   799.96    8.929 
   1.761  10   16.83   799.90    9.989 
   1.796  12   15.24   800.00   11.032 
   1.822  14   13.93   799.90   12.068 
   1.845  16   12.84   799.97   13.094 
   1.867  18   11.91   799.92   14.116 
# 
   1.498   4   28.19   850.01    6.337 
   1.605   6   24.19   850.06    7.385 
   1.677   8   21.26   850.02    8.403 
   1.729  10   19.00   849.90    9.401 
   1.767  12   17.20   849.89   10.385 
   1.797  14   15.73   850.01   11.357 
   1.821  16   14.50   850.11   12.322 
   1.843  18   13.45   850.06   13.283 
# 
   1.018   0   50.00   899.16    3.779 
   1.450   4   31.60   899.95    5.985 
   1.563   6   27.12   900.07    6.975 
   1.643   8   23.83   899.93    7.937 
   1.702  10   21.31   900.09    8.877 
   1.744  12   19.29   900.04    9.806 
   1.778  14   17.63   899.88   10.727 
   1.805  16   16.25   899.95   11.639 
   1.829  18   15.08   900.10   12.544 
# 
   1.230   2   42.60   949.42    4.684 
   1.403   4   35.21   949.97    5.670 
   1.523   6   30.21   949.96    6.609 
   1.611   8   26.56   950.08    7.518 
   1.676  10   23.74   950.02    8.410 
   1.724  12   21.49   949.98    9.291 
   1.762  14   19.65   950.04   10.161 
   1.792  16   18.11   950.06   11.025 
   1.818  18   16.80   950.05   11.885 
# 
   1.359   4   39.02  1000.05    5.386 
   1.484   6   33.48  1000.06    6.278 
   1.579   8   29.42   999.92    7.143 
   1.650  10   26.30   999.93    7.991 
   1.704  12   23.81   999.95    8.826 
   1.746  14   21.77   999.97    9.654 
   1.780  16   20.06   999.90   10.476 
   1.808  18   18.61   999.92   11.292 
# 
   1.315   4   43.02  1050.05    5.130 
   1.446   6   36.91  1050.03    5.979 
   1.547   8   32.44  1049.99    6.802 
   1.624  10   29.00  1050.01    7.609 
   1.683  12   26.25  1049.93    8.406 
   1.729  14   24.00  1049.94    9.194 
   1.766  16   22.12  1049.98    9.976 
   1.796  18   20.52  1049.98   10.754 
# 
   1.274   4   47.21  1100.00    4.897 
   1.409   6   40.51  1100.05    5.707 
   1.514   8   35.60  1099.94    6.494 
   1.596  10   31.83  1100.05    7.263 
   1.660  12   28.81  1099.94    8.024 
   1.710  14   26.34  1099.93    8.776 
   1.750  16   24.28  1100.06    9.522 
   1.783  18   22.52  1099.95   10.265 
# 
   1.233   4   51.60  1150.01    4.684 
   1.373   6   44.27  1149.97    5.459 
   1.481   8   38.91  1149.94    6.211 
   1.567  10   34.79  1150.06    6.947 
   1.636  12   31.49  1149.96    7.675 
   1.690  14   28.79  1149.95    8.395 
   1.733  16   26.53  1149.90    9.109 
   1.768  18   24.62  1150.10    9.818 
# 
   1.010   2   68.00  1199.52    3.707 
   1.194   4   56.18  1199.96    4.489 
   1.336   6   48.21  1200.05    5.231 
   1.448   8   42.37  1199.98    5.952 
   1.538  10   37.88  1200.04    6.658 
   1.610  12   34.29  1200.00    7.355 
   1.668  14   31.35  1199.99    8.045 
   1.714  16   28.89  1199.95    8.729 
   1.752  18   26.80  1199.94    9.410 
# 
   0.973   2   73.94  1250.82    3.555 
   1.157   4   60.96  1249.97    4.309 
   1.301   6   52.31  1250.04    5.022 
   1.415   8   45.98  1250.06    5.714 
   1.508  10   41.10  1250.01    6.392 
   1.583  12   37.21  1250.05    7.060 
   1.645  14   34.02  1250.05    7.722 
   1.694  16   31.35  1250.00    8.380 
   1.735  18   29.08  1249.94    9.033 
# 
   1.121   4   65.94  1300.02    4.143 
   1.266   6   56.57  1299.94    4.829 
   1.382   8   49.73  1300.03    5.494 
   1.478  10   44.45  1299.95    6.146 
   1.556  12   40.24  1299.95    6.789 
   1.621  14   36.79  1299.94    7.426 
   1.673  16   33.91  1300.03    8.057 
   1.716  18   31.46  1300.08    8.685 
# 
   1.087   4   71.11  1350.03    3.990 
   1.232   6   61.01  1349.99    4.650 
   1.350   8   53.63  1350.05    5.291 
   1.447  10   47.94  1350.02    5.918 
   1.528  12   43.40  1350.03    6.538 
   1.596  14   39.68  1350.03    7.150 
   1.651  16   36.57  1350.06    7.759 
   1.697  18   33.92  1349.95    8.364 
# 
   1.054   4   76.47  1399.98    3.848 
   1.199   6   65.61  1399.96    4.484 
   1.319   8   57.67  1399.98    5.102 
   1.417  10   51.56  1400.07    5.707 
   1.500  12   46.67  1399.96    6.304 
   1.570  14   42.67  1399.98    6.895 
   1.628  16   39.33  1400.08    7.482 
   1.677  18   36.48  1399.97    8.065 
# 
   1.474  12   50.00  1449.05    6.091 
