#6Li - NNLOopt data
#Rptp   Nmax   HW     UVeff    Leff
#====================================
   2.082  20   36.51  1450.08    8.35
   2.14089  22   34.22  1450.06    8.906 
#
   1.126   4   87.79  1500.03    3.591 
   1.301   6   75.32  1499.98    4.185 
   1.455   8   66.21  1500.05    4.762 
   1.589  10   59.18  1499.96    5.327 
   1.706  12   53.58  1500.03    5.884 
# 14 missing
   1.901  16   45.14  1499.93    6.98
   1.981  18   41.88  1500.01    7.53
   2.051  20   39.07  1500.05    8.07
   2.11270  22   36.62  1500.05    8.609 
#
#  1.092   4   93.74  1550.03    3.475 
#  1.264   6   80.43  1550.03    4.050 
#  1.417   8   70.69  1549.97    4.608 
#  1.551  10   63.19  1549.95    5.155 
#  1.669  12   57.21  1550.01    5.694 
#  2.410  20    9.77   750.12   16.14
