#  H3 - NNLOopt data
#    H3E  Nmax      hw   UVeff    Leff
#=====================================
 -5.6316     4  34.467  750.00   4.573
 -7.2909     6  27.866  750.00   5.657
 -7.7826     8  23.421  750.00   6.730
 -8.0032    10  20.215  750.00   7.797
 -8.0632    12  17.788  750.00   8.861
 -8.1069    14  15.885  750.00   9.923
 -8.1217    16  14.352  750.00  10.982
 -8.1343    18  13.091  750.00  12.041
 -8.1402    20  12.034  750.00  13.098
 -8.1454    22  11.136  750.00  14.155
 -8.1486    24  10.363  750.00  15.211
 -8.1512    26   9.690  750.00  16.267
 -8.1532    28   9.100  750.00  17.322
 -8.1547    30   8.577  750.00  18.377
 -8.1560    32   8.112  750.00  19.431
 -8.1571    34   7.694  750.00  20.486
 -8.1580    36   7.318  750.00  21.540
 -8.1587    38   6.976  750.00  22.594
 -8.1593    40   6.665  750.00  23.648
#
 -5.0958     4  39.216  800.00   4.287
 -7.1798     6  31.705  800.00   5.303
 -7.8106     8  26.648  800.00   6.309
 -8.0743    10  23.000  800.00   7.310
 -8.1436    12  20.239  800.00   8.308
 -8.1892    14  18.074  800.00   9.303
 -8.2010    16  16.330  800.00  10.296
 -8.2109    18  14.894  800.00  11.288
 -8.2141    20  13.692  800.00  12.280
 -8.2172    22  12.670  800.00  13.270
 -8.2185    24  11.790  800.00  14.260
 -8.2198    26  11.025  800.00  15.250
 -8.2205    28  10.353  800.00  16.239
 -8.2212    30   9.759  800.00  17.228
 -8.2216    32   9.229  800.00  18.217
 -8.2220    34   8.754  800.00  19.205
 -8.2223    36   8.326  800.00  20.194
 -8.2226    38   7.938  800.00  21.182
 -8.2228    40   7.584  800.00  22.170
#
 -4.3150     4  44.271  850.00   4.035
 -6.8976     6  35.792  850.00   4.991
 -7.7417     8  30.083  850.00   5.938
 -8.0615    10  25.965  850.00   6.880
 -8.1606    12  22.847  850.00   7.819
 -8.2118    14  20.404  850.00   8.755
 -8.2269    16  18.435  850.00   9.690
 -8.2361    18  16.814  850.00  10.624
 -8.2388    20  15.457  850.00  11.557
 -8.2410    22  14.303  850.00  12.490
 -8.2416    24  13.310  850.00  13.421
 -8.2423    26  12.446  850.00  14.353
 -8.2425    28  11.688  850.00  15.284
 -8.2427    30  11.017  850.00  16.215
 -8.2428    32  10.419  850.00  17.145
 -8.2430    34   9.883  850.00  18.076
 -8.2430    36   9.399  850.00  19.006
 -8.2431    38   8.961  850.00  19.936
 -8.2431    40   8.561  850.00  20.866
#
 -3.2676     4  49.633  900.00   3.811
 -6.4675     6  40.126  900.00   4.714
 -7.5967     8  33.727  900.00   5.608
 -7.9953    10  29.109  900.00   6.498
 -8.1438    12  25.614  900.00   7.384
 -8.2064    14  22.875  900.00   8.269
 -8.2304    16  20.667  900.00   9.152
 -8.2408    18  18.851  900.00  10.034
 -8.2449    20  17.329  900.00  10.915
 -8.2470    22  16.035  900.00  11.796
 -8.2477    24  14.922  900.00  12.676
 -8.2482    26  13.954  900.00  13.556
 -8.2483    28  13.104  900.00  14.435
 -8.2484    30  12.351  900.00  15.314
 -8.2485    32  11.681  900.00  16.193
 -8.2485    34  11.080  900.00  17.071
 -8.2486    36  10.538  900.00  17.950
