#  H3 - NNLOopt data
#    H3E  Nmax      hw   UVeff    Leff
#=====================================
 -8.2486    38  10.046  900.00  18.828
 -8.2486    40   9.598  900.00  19.707
#
 -1.9205     4  55.300  950.00   3.610
 -5.9105     6  44.709  950.00   4.466
 -7.3839     8  37.578  950.00   5.313
 -7.8939    10  32.433  950.00   6.156
 -8.1060    12  28.540  950.00   6.996
 -8.1882    14  25.487  950.00   7.834
 -8.2248    16  23.028  950.00   8.670
 -8.2386    18  21.003  950.00   9.506
 -8.2452    20  19.308  950.00  10.341
 -8.2478    22  17.867  950.00  11.175
 -8.2490    24  16.626  950.00  12.009
 -8.2495    26  15.547  950.00  12.842
 -8.2497    28  14.600  950.00  13.675
 -8.2499    30  13.762  950.00  14.508
 -8.2499    32  13.015  950.00  15.341
 -8.2499    34  12.345  950.00  16.173
 -8.2500    36  11.741  950.00  17.005
 -8.2500    38  11.193  950.00  17.837
 -8.2500    40  10.694  950.00  18.669
#
 -0.2283     4  61.275 1000.00   3.430
 -5.2394     6  49.539 1000.00   4.242
 -7.1013     8  41.638 1000.00   5.047
 -7.7637    10  35.937 1000.00   5.848
 -8.0490    12  31.623 1000.00   6.646
 -8.1612    14  28.240 1000.00   7.442
 -8.2131    16  25.515 1000.00   8.237
 -8.2334    18  23.273 1000.00   9.031
 -8.2432    20  21.394 1000.00   9.824
 -8.2470    22  19.797 1000.00  10.616
 -8.2489    24  18.422 1000.00  11.408
 -8.2496    26  17.227 1000.00  12.200
 -8.2500    28  16.177 1000.00  12.991
 -8.2502    30  15.249 1000.00  13.783
 -8.2502    32  14.421 1000.00  14.574
 -8.2503    34  13.679 1000.00  15.364
 -8.2503    36  13.009 1000.00  16.155
 -8.2503    38  12.402 1000.00  16.946
 -8.2503    40  11.850 1000.00  17.736
#
  1.8589     4  67.555 1050.00   3.267
 -4.4541     6  54.617 1050.00   4.040
 -6.7427     8  45.906 1050.00   4.807
 -7.6027    10  39.621 1050.00   5.570
 -7.9705    12  34.864 1050.00   6.330
 -8.1247    14  31.135 1050.00   7.088
 -8.1949    16  28.131 1050.00   7.845
 -8.2252    18  25.658 1050.00   8.601
 -8.2391    20  23.587 1050.00   9.356
 -8.2452    22  21.826 1050.00  10.111
 -8.2481    24  20.311 1050.00  10.865
 -8.2493    26  18.993 1050.00  11.619
 -8.2499    28  17.836 1050.00  12.373
 -8.2501    30  16.812 1050.00  13.126
 -8.2503    32  15.899 1050.00  13.880
 -8.2503    34  15.081 1050.00  14.633
 -8.2503    36  14.343 1050.00  15.386
 -8.2503    38  13.674 1050.00  16.139
 -8.2503    40  13.064 1050.00  16.891
#
  4.3941     4  74.142 1100.00   3.118
 -3.5429     6  59.942 1100.00   3.857
 -6.3025     8  50.382 1100.00   4.589
 -7.4049    10  43.484 1100.00   5.316
 -7.8690    12  38.264 1100.00   6.042
 -8.0765    14  34.171 1100.00   6.766
 -8.1700    16  30.874 1100.00   7.488
 -8.2134    18  28.160 1100.00   8.210
 -8.2331    20  25.886 1100.00   8.931
 -8.2424    22  23.954 1100.00   9.651
 -8.2467    24  22.291 1100.00  10.371
 -8.2486    26  20.844 1100.00  11.091
 -8.2496    28  19.575 1100.00  11.810
 -8.2500    30  18.451 1100.00  12.530
 -8.2502    32  17.450 1100.00  13.249
 -8.2503    34  16.551 1100.00  13.968
 -8.2503    36  15.741 1100.00  14.686
 -8.2503    38  15.007 1100.00  15.405
 -8.2503    40  14.338 1100.00  16.124
#
  7.4258     4  81.036 1150.00   2.983
 -2.4830     6  65.515 1150.00   3.689
 -5.7785     8  55.066 1150.00   4.389
 -7.1629    10  47.527 1150.00   5.085
 -7.7433    12  41.821 1150.00   5.779
 -8.0140    14  37.348 1150.00   6.471
 -8.1374    16  33.744 1150.00   7.162
 -8.1969    18  30.778 1150.00   7.853
 -8.2247    20  28.293 1150.00   8.542
 -8.2382    22  26.181 1150.00   9.231
 -8.2445    24  24.363 1150.00   9.920
 -8.2476    26  22.782 1150.00  10.609
 -8.2490    28  21.395 1150.00  11.297
 -8.2497    30  20.166 1150.00  11.985
 -8.2501    32  19.072 1150.00  12.673
 -8.2502    34  18.090 1150.00  13.360
 -8.2503    36  17.205 1150.00  14.048
 -8.2503    38  16.402 1150.00  14.735
 -8.2503    40  15.671 1150.00  15.423
#
 10.9951     4  88.236 1200.00   2.858
 -1.2449     6  71.336 1200.00   3.535
 -5.1697     8  59.959 1200.00   4.206
 -6.8691    10  51.750 1200.00   4.873
 -7.5919    12  45.537 1200.00   5.538
 -7.9345    14  40.666 1200.00   6.202
 -8.0958    16  36.742 1200.00   6.864
 -8.1748    18  33.512 1200.00   7.526
 -8.2133    20  30.807 1200.00   8.186
 -8.2321    22  28.507 1200.00   8.847
 -8.2414    24  26.528 1200.00   9.507
 -8.2460    26  24.807 1200.00  10.167
 -8.2482    28  23.295 1200.00  10.826
 -8.2493    30  21.958 1200.00  11.485
 -8.2498    32  20.766 1200.00  12.145
 -8.2501    34  19.698 1200.00  12.804
 -8.2502    36  18.733 1200.00  13.462
 -8.2503    38  17.860 1200.00  14.121
 -8.2503    40  17.064 1200.00  14.780
#
 15.1347     4  95.742 1250.00   2.744
  0.2053     6  77.404 1250.00   3.394
 -4.4749     8  65.059 1250.00   4.038
 -6.5171    10  56.152 1250.00   4.678
 -7.4118    12  49.411 1250.00   5.317
 -7.8361    14  44.125 1250.00   5.954
 -8.0437    16  39.868 1250.00   6.589
 -8.1462    18  36.363 1250.00   7.225
 -8.1980    20  33.428 1250.00   7.859
 -8.2239    22  30.932 1250.00   8.493
 -8.2370    24  28.785 1250.00   9.127
 -8.2436    26  26.917 1250.00   9.760
 -8.2470    28  25.277 1250.00  10.393
 -8.2487    30  23.826 1250.00  11.026
 -8.2495    32  22.533 1250.00  11.659
 -8.2499    34  21.373 1250.00  12.291
 -8.2501    36  20.327 1250.00  12.924
 -8.2502    38  19.379 1250.00  13.556
 -8.2503    40  18.515 1250.00  14.189
#
 19.8676     4 103.554 1300.00   2.638
  1.9035     6  83.721 1300.00   3.263
 -3.6894     8  70.368 1300.00   3.883
 -6.1023    10  60.734 1300.00   4.499
 -7.1989    12  53.443 1300.00   5.112
 -7.7174    14  47.726 1300.00   5.725
 -7.9790    16  43.121 1300.00   6.336
 -8.1102    18  39.331 1300.00   6.947
 -8.1781    20  36.155 1300.00   7.557
 -8.2130    22  33.456 1300.00   8.166
 -8.2310    24  31.134 1300.00   8.776
 -8.2404    26  29.113 1300.00   9.385
 -8.2452    28  27.340 1300.00   9.993
 -8.2477    30  25.770 1300.00  10.602
 -8.2490    32  24.372 1300.00  11.210
 -8.2496    34  23.117 1300.00  11.819
 -8.2500    36  21.986 1300.00  12.427
 -8.2502    38  20.960 1300.00  13.035
 -8.2503    40  20.026 1300.00  13.643
#
 25.2073     4 111.673 1350.00   2.541
  3.8836     6  90.285 1350.00   3.143
 -2.8044     8  75.885 1350.00   3.739
 -5.6221    10  65.496 1350.00   4.332
 -6.9482    12  57.633 1350.00   4.923
 -7.5770    14  51.468 1350.00   5.513
 -7.8999    16  46.502 1350.00   6.101
 -8.0657    18  42.414 1350.00   6.689
 -8.1527    20  38.990 1350.00   7.277
 -8.1987    22  36.080 1350.00   7.864
 -8.2230    24  33.575 1350.00   8.451
 -8.2359    26  31.396 1350.00   9.037
 -8.2427    28  29.483 1350.00   9.623
 -8.2463    30  27.791 1350.00  10.209
 -8.2482    32  26.282 1350.00  10.795
 -8.2492    34  24.930 1350.00  11.381
 -8.2498    36  23.710 1350.00  11.967
 -8.2500    38  22.603 1350.00  12.552
 -8.2502    40  21.596 1350.00  13.138
#
 31.1575     4 120.099 1400.00   2.450
  6.1773     6  97.096 1400.00   3.030
 -1.8064     8  81.610 1400.00   3.605
 -5.0753    10  70.437 1400.00   4.177
 -6.6549    12  61.981 1400.00   4.747
 -7.4132    14  55.351 1400.00   5.316
 -7.8049    16  50.010 1400.00   5.883
 -8.0114    18  45.614 1400.00   6.450
 -8.1211    20  41.932 1400.00   7.017
 -8.1805    22  38.802 1400.00   7.583
 -8.2125    24  36.108 1400.00   8.149
 -8.2299    26  33.764 1400.00   8.714
 -8.2393    28  31.708 1400.00   9.280
 -8.2444    30  29.887 1400.00   9.845
 -8.2471    32  28.265 1400.00  10.410
 -8.2486    34  26.811 1400.00  10.975
 -8.2494    36  25.498 1400.00  11.539
 -8.2499    38  24.309 1400.00  12.104
 -8.2501    40  23.225 1400.00  12.669
#
 37.7105     4 128.830 1450.00   2.365
  8.8121     6 104.155 1450.00   2.926
 -0.6779     8  87.544 1450.00   3.481
 -4.4608    10  75.558 1450.00   4.033
 -6.3146    12  66.487 1450.00   4.583
 -7.2233    14  59.375 1450.00   5.132
 -7.6928    16  53.646 1450.00   5.681
 -7.9460    18  48.931 1450.00   6.228
 -8.0825    20  44.980 1450.00   6.775
 -8.1577    22  41.623 1450.00   7.322
 -8.1992    24  38.733 1450.00   7.868
 -8.2220    26  36.219 1450.00   8.414
 -8.2347    28  34.013 1450.00   8.960
 -8.2417    30  32.060 1450.00   9.505
 -8.2456    32  30.320 1450.00  10.051
 -8.2477    34  28.760 1450.00  10.596
 -8.2489    36  27.352 1450.00  11.141
 -8.2496    38  26.076 1450.00  11.687
 -8.2499    40  24.914 1450.00  12.232
#
 44.8531     4 137.868 1500.00   2.287
 11.8103     6 111.462 1500.00   2.828
  0.6013     8  93.686 1500.00   3.365
 -3.7763    10  80.859 1500.00   3.899
 -5.9244    12  71.151 1500.00   4.431
 -7.0042    14  63.540 1500.00   4.961
 -7.5623    16  57.410 1500.00   5.491
 -7.8682    18  52.363 1500.00   6.020
 -8.0361    20  48.136 1500.00   6.549
 -8.1297    22  44.543 1500.00   7.077
 -8.1824    24  41.450 1500.00   7.606
 -8.2120    26  38.760 1500.00   8.133
 -8.2288    28  36.399 1500.00   8.661
 -8.2382    30  34.310 1500.00   9.188
 -8.2435    32  32.447 1500.00   9.716
 -8.2465    34  30.777 1500.00  10.243
 -8.2482    36  29.271 1500.00  10.770
 -8.2491    38  27.906 1500.00  11.297
 -8.2497    40  26.662 1500.00  11.824
#
