# A=8, Z=2 
# NNLOopt interaction 
#  e     Nmax   HW     UVeff    Leff
#====================================
# 
 -10.264   4   17.44   749.18    9.028 
# 
 -10.476   4   19.89   800.08    8.454 
 -16.069   6   17.44   800.04    9.641 
 -19.224   8   15.60   800.08   10.779 
 -21.129  10   14.14   799.87   11.889 
 -22.401  12   12.96   799.95   12.972 
# 
  -9.916   4   22.45   850.01    7.957 
 -16.607   6   19.69   850.08    9.074 
 -20.125   8   17.61   850.06   10.145 
 -22.204  10   15.97   850.05   11.187 
 -23.517  12   14.63   849.93   12.210 
# 
  -8.563   4   25.17   900.03    7.515 
 -16.568   6   22.07   899.99    8.570 
 -20.552   8   19.74   900.00    9.582 
 -22.840  10   17.90   899.95   10.566 
 -24.220  12   16.40   899.87   11.532 
# 
  -6.384   4   28.04   949.96    7.120 
 -15.937   6   24.59   949.99    8.119 
 -20.530   8   22.00   950.13    9.077 
 -23.085  10   19.95   950.09   10.009 
 -24.571  12   18.28   950.05   10.923 
# 
  -3.301   4   31.07   999.97    6.764 
 -14.688   6   27.25  1000.05    7.713 
 -20.078   8   24.37  1000.00    8.624 
 -22.981  10   22.10   999.98    9.510 
 -24.631  12   20.25   999.94   10.378 
# 
   0.792   4   34.26  1050.05    6.441 
 -12.798   6   30.04  1050.00    7.346 
 -19.203   8   26.87  1050.04    8.213 
 -22.565  10   24.37  1050.08    9.056 
 -24.451  12   22.33  1050.04    9.883 
# 
   6.020   4   37.60  1100.04    6.149 
 -10.230   6   32.97  1100.01    7.012 
 -17.903   8   29.49  1100.04    7.840 
 -21.850  10   26.78  1100.78    8.639 
 -24.067  12   24.51  1100.10    9.433 
# 
  12.544   4   41.09  1149.96    5.882 
  -6.951   6   36.03  1149.93    6.708 
 -16.161   8   32.23  1150.01    7.499 
 -20.879  10   29.23  1150.03    8.269 
 -23.494  12   26.78  1149.91    9.024 
# 
  20.566   4   44.74  1199.95    5.637 
  -2.880   6   39.24  1200.06    6.427 
 -13.948   8   35.09  1199.95    7.187 
 -19.600  10   31.83  1200.09    7.924 
 -22.724  12   29.16  1199.92    8.648 
# 
  30.281   4   48.55  1250.00    5.411 
   2.022   6   42.57  1249.94    6.171 
 -11.214   8   38.08  1250.02    6.899 
 -18.011  10   34.53  1249.95    7.608 
 -21.750  12   31.64  1249.91    8.302 
# 
  41.849   4   52.51  1299.98    5.203 
   7.899   6   46.05  1300.03    5.933 
  -7.920   8   41.19  1300.07    6.633 
 -16.069  10   37.35  1299.99    7.315 
 -20.547  12   34.23  1300.06    7.982 
# 
  55.463   4   56.63  1350.01    5.010 
  14.835   6   49.66  1350.02    5.713 
  -4.022   8   44.41  1349.93    6.388 
 -13.741  10   40.28  1350.02    7.044 
 -19.102  12   36.91  1349.99    7.687 
# 
  71.231   4   60.90  1399.99    4.831 
  22.950   6   53.40  1399.94    5.510 
   0.580   8   47.77  1400.06    6.160 
 -10.988  10   43.32  1400.03    6.792 
 -17.378  12   39.70  1400.09    7.412 
