#  H2 - NNLOopt data
#    H2E  Nmax      hw   UVeff    Leff
#=====================================
 -2.2246   240   2.187 1000.00  96.098
 -2.2246   250   2.101 1000.00 100.045
#
 -1.4592    10  43.657 1050.00   5.055
 -2.1759    20  25.015 1050.00   8.822
 -2.2206    30  17.537 1050.00  12.584
 -2.2243    40  13.502 1050.00  16.344
 -2.2246    50  10.977 1050.00  20.104
 -2.2246    60   9.247 1050.00  23.863
 -2.2246    70   7.989 1050.00  27.622
 -2.2246    80   7.032 1050.00  31.382
 -2.2246    90   6.280 1050.00  35.141
 -2.2246   100   5.673 1050.00  38.899
 -2.2246   110   5.173 1050.00  42.658
 -2.2246   120   4.754 1050.00  46.417
 -2.2246   130   4.398 1050.00  50.176
 -2.2246   140   4.092 1050.00  53.935
 -2.2246   150   3.825 1050.00  57.694
 -2.2246   160   3.591 1050.00  61.452
 -2.2246   170   3.384 1050.00  65.211
 -2.2246   180   3.200 1050.00  68.970
 -2.2246   190   3.034 1050.00  72.728
 -2.2246   200   2.885 1050.00  76.487
 -2.2246   210   2.750 1050.00  80.246
 -2.2246   220   2.627 1050.00  84.005
 -2.2246   230   2.514 1050.00  87.763
 -2.2246   240   2.411 1050.00  91.522
 -2.2246   250   2.316 1050.00  95.281
#
 -1.3066    10  47.914 1100.00   4.825
 -2.1605    20  27.454 1100.00   8.421
 -2.2188    30  19.247 1100.00  12.012
 -2.2240    40  14.818 1100.00  15.601
 -2.2245    50  12.047 1100.00  19.190
 -2.2246    60  10.149 1100.00  22.779
 -2.2246    70   8.768 1100.00  26.367
 -2.2246    80   7.718 1100.00  29.955
 -2.2246    90   6.892 1100.00  33.543
 -2.2246   100   6.226 1100.00  37.131
 -2.2246   110   5.677 1100.00  40.719
 -2.2246   120   5.218 1100.00  44.307
 -2.2246   130   4.827 1100.00  47.895
 -2.2246   140   4.490 1100.00  51.483
 -2.2246   150   4.198 1100.00  55.071
 -2.2246   160   3.941 1100.00  58.659
 -2.2246   170   3.714 1100.00  62.247
 -2.2246   180   3.512 1100.00  65.835
 -2.2246   190   3.330 1100.00  69.423
 -2.2246   200   3.166 1100.00  73.011
 -2.2246   210   3.018 1100.00  76.598
 -2.2246   220   2.883 1100.00  80.186
 -2.2246   230   2.760 1100.00  83.774
 -2.2246   240   2.646 1100.00  87.362
 -2.2246   250   2.542 1100.00  90.950
#
 -1.1337    10  52.369 1150.00   4.615
 -2.1423    20  30.007 1150.00   8.055
 -2.2164    30  21.036 1150.00  11.489
 -2.2237    40  16.196 1150.00  14.923
 -2.2245    50  13.167 1150.00  18.356
 -2.2246    60  11.093 1150.00  21.788
 -2.2246    70   9.583 1150.00  25.221
 -2.2246    80   8.435 1150.00  28.653
 -2.2246    90   7.533 1150.00  32.085
 -2.2246   100   6.805 1150.00  35.517
 -2.2246   110   6.205 1150.00  38.949
 -2.2246   120   5.703 1150.00  42.381
 -2.2246   130   5.276 1150.00  45.813
 -2.2246   140   4.908 1150.00  49.245
 -2.2246   150   4.588 1150.00  52.677
 -2.2246   160   4.308 1150.00  56.109
 -2.2246   170   4.059 1150.00  59.541
 -2.2246   180   3.838 1150.00  62.972
 -2.2246   190   3.640 1150.00  66.404
 -2.2246   200   3.461 1150.00  69.836
 -2.2246   210   3.299 1150.00  73.268
 -2.2246   220   3.151 1150.00  76.700
 -2.2246   230   3.016 1150.00  80.132
 -2.2246   240   2.892 1150.00  83.564
 -2.2246   250   2.778 1150.00  86.995
#
 -0.9353    10  57.022 1200.00   4.423
 -2.1207    20  32.673 1200.00   7.719
 -2.2134    30  22.905 1200.00  11.011
 -2.2233    40  17.635 1200.00  14.301
 -2.2244    50  14.337 1200.00  17.591
 -2.2246    60  12.078 1200.00  20.880
 -2.2246    70  10.435 1200.00  24.170
 -2.2246    80   9.185 1200.00  27.459
 -2.2246    90   8.202 1200.00  30.748
 -2.2246   100   7.410 1200.00  34.037
 -2.2246   110   6.757 1200.00  37.326
 -2.2246   120   6.210 1200.00  40.615
 -2.2246   130   5.744 1200.00  43.904
 -2.2246   140   5.344 1200.00  47.193
 -2.2246   150   4.996 1200.00  50.482
 -2.2246   160   4.690 1200.00  53.771
 -2.2246   170   4.420 1200.00  57.060
 -2.2246   180   4.179 1200.00  60.349
 -2.2246   190   3.963 1200.00  63.637
