# He3 - NNLOopt data
#   He3E  Nmax      hw   UVeff    Leff
#=====================================
 -7.5019    32  14.421 1000.00  14.574
 -7.5019    34  13.679 1000.00  15.364
 -7.5019    36  13.009 1000.00  16.155
 -7.5020    38  12.402 1000.00  16.946
 -7.5020    40  11.850 1000.00  17.736
#
 -6.7920    10  39.621 1050.00   5.570
 -7.1854    12  34.864 1050.00   6.330
 -7.3555    14  31.135 1050.00   7.088
 -7.4348    16  28.131 1050.00   7.845
 -7.4705    18  25.658 1050.00   8.601
 -7.4873    20  23.587 1050.00   9.356
 -7.4951    22  21.826 1050.00  10.111
 -7.4988    24  20.311 1050.00  10.865
 -7.5005    26  18.993 1050.00  11.619
 -7.5013    28  17.836 1050.00  12.373
 -7.5017    30  16.812 1050.00  13.126
 -7.5019    32  15.899 1050.00  13.880
 -7.5019    34  15.081 1050.00  14.633
 -7.5020    36  14.343 1050.00  15.386
 -7.5020    38  13.674 1050.00  16.139
 -7.5020    40  13.064 1050.00  16.891
#
 -6.5827    10  43.484 1100.00   5.316
 -7.0757    12  38.264 1100.00   6.042
 -7.3019    14  34.171 1100.00   6.766
 -7.4062    16  30.874 1100.00   7.488
 -7.4565    18  28.160 1100.00   8.210
 -7.4799    20  25.886 1100.00   8.931
 -7.4915    22  23.954 1100.00   9.651
 -7.4969    24  22.291 1100.00  10.371
 -7.4996    26  20.844 1100.00  11.091
 -7.5008    28  19.575 1100.00  11.810
 -7.5014    30  18.451 1100.00  12.530
 -7.5017    32  17.450 1100.00  13.249
 -7.5019    34  16.551 1100.00  13.968
 -7.5020    36  15.741 1100.00  14.686
 -7.5020    38  15.007 1100.00  15.405
 -7.5020    40  14.338 1100.00  16.124
#
 -6.3282    10  47.527 1150.00   5.085
 -6.9411    12  41.821 1150.00   5.779
 -7.2331    14  37.348 1150.00   6.471
 -7.3694    16  33.744 1150.00   7.162
 -7.4373    18  30.778 1150.00   7.853
 -7.4698    20  28.293 1150.00   8.542
 -7.4862    22  26.181 1150.00   9.231
 -7.4941    24  24.363 1150.00   9.920
 -7.4981    26  22.782 1150.00  10.609
 -7.5001    28  21.395 1150.00  11.297
 -7.5011    30  20.166 1150.00  11.985
 -7.5016    32  19.072 1150.00  12.673
 -7.5018    34  18.090 1150.00  13.360
 -7.5019    36  17.205 1150.00  14.048
 -7.5020    38  16.402 1150.00  14.735
 -7.5020    40  15.671 1150.00  15.423
#
 -6.0210    10  51.750 1200.00   4.873
 -6.7800    12  45.537 1200.00   5.538
 -7.1467    14  40.666 1200.00   6.202
 -7.3231    16  36.742 1200.00   6.864
 -7.4119    18  33.512 1200.00   7.526
 -7.4563    20  30.807 1200.00   8.186
 -7.4788    22  28.507 1200.00   8.847
 -7.4902    24  26.528 1200.00   9.507
 -7.4960    26  24.807 1200.00  10.167
 -7.4990    28  23.295 1200.00  10.826
 -7.5005    30  21.958 1200.00  11.485
 -7.5012    32  20.766 1200.00  12.145
 -7.5016    34  19.698 1200.00  12.804
 -7.5018    36  18.733 1200.00  13.462
 -7.5019    38  17.860 1200.00  14.121
 -7.5020    40  17.064 1200.00  14.780
#
 -5.6549    10  56.152 1250.00   4.678
 -6.5897    12  49.411 1250.00   5.317
 -7.0408    14  44.125 1250.00   5.954
 -7.2656    16  39.868 1250.00   6.589
 -7.3795    18  36.363 1250.00   7.225
 -7.4385    20  33.428 1250.00   7.859
 -7.4689    22  30.932 1250.00   8.493
 -7.4848    24  28.785 1250.00   9.127
 -7.4930    26  26.917 1250.00   9.760
 -7.4973    28  25.277 1250.00  10.393
 -7.4996    30  23.826 1250.00  11.026
 -7.5008    32  22.533 1250.00  11.659
 -7.5014    34  21.373 1250.00  12.291
 -7.5017    36  20.327 1250.00  12.924
 -7.5019    38  19.379 1250.00  13.556
 -7.5019    40  18.515 1250.00  14.189
#
 -5.2253    10  60.734 1300.00   4.499
 -6.3658    12  53.443 1300.00   5.112
 -6.9139    14  47.726 1300.00   5.725
 -7.1949    16  43.121 1300.00   6.336
 -7.3392    18  39.331 1300.00   6.947
 -7.4156    20  36.155 1300.00   7.557
 -7.4560    22  33.456 1300.00   8.166
 -7.4774    24  31.134 1300.00   8.776
 -7.4889    26  29.113 1300.00   9.385
 -7.4950    28  27.340 1300.00   9.993
 -7.4983    30  25.770 1300.00  10.602
 -7.5000    32  24.372 1300.00  11.210
 -7.5010    34  23.117 1300.00  11.819
 -7.5015    36  21.986 1300.00  12.427
 -7.5017    38  20.960 1300.00  13.035
 -7.5019    40  20.026 1300.00  13.643
#
 -4.7298    10  65.496 1350.00   4.332
 -6.1034    12  57.633 1350.00   4.923
 -6.7648    14  51.468 1350.00   5.513
 -7.1093    16  46.502 1350.00   6.101
 -7.2900    18  42.414 1350.00   6.689
 -7.3868    20  38.990 1350.00   7.277
 -7.4394    22  36.080 1350.00   7.864
 -7.4678    24  33.575 1350.00   8.451
 -7.4834    26  31.396 1350.00   9.037
 -7.4918    28  29.483 1350.00   9.623
 -7.4965    30  27.791 1350.00  10.209
 -7.4990    32  26.282 1350.00  10.795
 -7.5004    34  24.930 1350.00  11.381
 -7.5011    36  23.710 1350.00  11.967
 -7.5016    38  22.603 1350.00  12.552
 -7.5018    40  21.596 1350.00  13.138
#
 -4.1673    10  70.437 1400.00   4.177
 -5.7979    12  61.981 1400.00   4.747
 -6.5916    14  55.351 1400.00   5.316
 -7.0072    16  50.010 1400.00   5.883
 -7.2305    18  45.614 1400.00   6.450
 -7.3513    20  41.932 1400.00   7.017
 -7.4184    22  38.802 1400.00   7.583
 -7.4554    24  36.108 1400.00   8.149
 -7.4761    26  33.764 1400.00   8.714
 -7.4875    28  31.708 1400.00   9.280
 -7.4940    30  29.887 1400.00   9.845
 -7.4975    32  28.265 1400.00  10.410
 -7.4995    34  26.811 1400.00  10.975
 -7.5006    36  25.498 1400.00  11.539
 -7.5013    38  24.309 1400.00  12.104
 -7.5016    40  23.225 1400.00  12.669
#
 -3.5365    10  75.558 1450.00   4.033
 -5.4449    12  66.487 1450.00   4.583
 -6.3919    14  59.375 1450.00   5.132
 -6.8875    16  53.646 1450.00   5.681
 -7.1594    18  48.931 1450.00   6.228
 -7.3085    20  44.980 1450.00   6.775
 -7.3925    22  41.623 1450.00   7.322
 -7.4399    24  38.733 1450.00   7.868
 -7.4667    26  36.219 1450.00   8.414
 -7.4819    28  34.013 1450.00   8.960
 -7.4906    30  32.060 1450.00   9.505
 -7.4955    32  30.320 1450.00  10.051
 -7.4984    34  28.760 1450.00  10.596
 -7.4999    36  27.352 1450.00  11.141
 -7.5009    38  26.076 1450.00  11.687
 -7.5014    40  24.914 1450.00  12.232
#
 -2.8354    10  80.859 1500.00   3.899
 -5.0414    12  71.151 1500.00   4.431
 -6.1625    14  63.540 1500.00   4.961
 -6.7491    16  57.410 1500.00   5.491
 -7.0754    18  52.363 1500.00   6.020
 -7.2575    20  48.136 1500.00   6.549
 -7.3610    22  44.543 1500.00   7.077
 -7.4206    24  41.450 1500.00   7.606
 -7.4549    26  38.760 1500.00   8.133
 -7.4747    28  36.399 1500.00   8.661
 -7.4862    30  34.310 1500.00   9.188
 -7.4929    32  32.447 1500.00   9.716
 -7.4968    34  30.777 1500.00  10.243
 -7.4990    36  29.271 1500.00  10.770
 -7.5003    38  27.906 1500.00  11.297
 -7.5010    40  26.662 1500.00  11.824
#
