# He3 - NNLOopt data
#   He3E  Nmax      hw   UVeff    Leff
#=====================================
 -7.2400    10  20.215  750.00   7.797
 -7.3064    12  17.788  750.00   8.861
 -7.3554    14  15.885  750.00   9.923
 -7.3717    16  14.352  750.00  10.982
 -7.3857    18  13.091  750.00  12.041
 -7.3920    20  12.034  750.00  13.098
 -7.3978    22  11.136  750.00  14.155
 -7.4010    24  10.363  750.00  15.211
 -7.4039    26   9.690  750.00  16.267
 -7.4059    28   9.100  750.00  17.322
 -7.4075    30   8.577  750.00  18.377
 -7.4089    32   8.112  750.00  19.431
 -7.4099    34   7.694  750.00  20.486
 -7.4109    36   7.318  750.00  21.540
 -7.4116    38   6.976  750.00  22.594
 -7.4122    40   6.665  750.00  23.648
#
 -7.3057    10  23.000  800.00   7.310
 -7.3839    12  20.239  800.00   8.308
 -7.4358    14  18.074  800.00   9.303
 -7.4498    16  16.330  800.00  10.296
 -7.4613    18  14.894  800.00  11.288
 -7.4650    20  13.692  800.00  12.280
 -7.4687    22  12.670  800.00  13.270
 -7.4700    24  11.790  800.00  14.260
 -7.4715    26  11.025  800.00  15.250
 -7.4723    28  10.353  800.00  16.239
 -7.4730    30   9.759  800.00  17.228
 -7.4735    32   9.229  800.00  18.217
 -7.4739    34   8.754  800.00  19.205
 -7.4742    36   8.326  800.00  20.194
 -7.4745    38   7.938  800.00  21.182
 -7.4747    40   7.584  800.00  22.170
#
 -7.2867    10  25.965  850.00   6.880
 -7.3979    12  22.847  850.00   7.819
 -7.4567    14  20.404  850.00   8.755
 -7.4749    16  18.435  850.00   9.690
 -7.4860    18  16.814  850.00  10.624
 -7.4894    20  15.457  850.00  11.557
 -7.4922    22  14.303  850.00  12.490
 -7.4929    24  13.310  850.00  13.421
 -7.4938    26  12.446  850.00  14.353
 -7.4941    28  11.688  850.00  15.284
 -7.4944    30  11.017  850.00  16.215
 -7.4945    32  10.419  850.00  17.145
 -7.4946    34   9.883  850.00  18.076
 -7.4947    36   9.399  850.00  19.006
 -7.4948    38   8.961  850.00  19.936
 -7.4948    40   8.561  850.00  20.866
#
 -7.2132    10  29.109  900.00   6.498
 -7.3772    12  25.614  900.00   7.384
 -7.4489    14  22.875  900.00   8.269
 -7.4773    16  20.667  900.00   9.152
 -7.4901    18  18.851  900.00  10.034
 -7.4953    20  17.329  900.00  10.915
 -7.4981    22  16.035  900.00  11.796
 -7.4990    24  14.922  900.00  12.676
 -7.4997    26  13.954  900.00  13.556
 -7.4999    28  13.104  900.00  14.435
 -7.5001    30  12.351  900.00  15.314
 -7.5001    32  11.681  900.00  16.193
 -7.5002    34  11.080  900.00  17.071
 -7.5002    36  10.538  900.00  17.950
 -7.5002    38  10.046  900.00  18.828
 -7.5003    40   9.598  900.00  19.707
#
 -7.1034    10  32.433  950.00   6.156
 -7.3344    12  28.540  950.00   6.996
 -7.4275    14  25.487  950.00   7.834
 -7.4700    16  23.028  950.00   8.670
 -7.4870    18  21.003  950.00   9.506
 -7.4952    20  19.308  950.00  10.341
 -7.4986    22  17.867  950.00  11.175
 -7.5002    24  16.626  950.00  12.009
 -7.5010    26  15.547  950.00  12.842
 -7.5013    28  14.600  950.00  13.675
 -7.5015    30  13.762  950.00  14.508
 -7.5016    32  13.015  950.00  15.341
 -7.5016    34  12.345  950.00  16.173
 -7.5016    36  11.741  950.00  17.005
 -7.5016    38  11.193  950.00  17.837
 -7.5016    40  10.694  950.00  18.669
#
 -6.9636    10  35.937 1000.00   5.848
 -7.2711    12  31.623 1000.00   6.646
 -7.3966    14  28.240 1000.00   7.442
 -7.4559    16  25.515 1000.00   8.237
 -7.4804    18  23.273 1000.00   9.031
 -7.4924    20  21.394 1000.00   9.824
 -7.4975    22  19.797 1000.00  10.616
 -7.4999    24  18.422 1000.00  11.408
 -7.5010    26  17.227 1000.00  12.200
 -7.5015    28  16.177 1000.00  12.991
 -7.5017    30  15.249 1000.00  13.783
